customer ID,Gender,Age,Item Purchased,Category,Season,Color,Size,Location,Ratings,Subscription status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchased,Payment method,Frequency Of Purchases,Purchase Amount USD
1,Female,33,Raincoat,Outerwear,Fall,Gold,M,Delaware,4.2,No,Store Pickup,Yes,No,31,Cash,Annually,91
2,Female,21,Bracelet,Accessories,Spring,Olive,M,Nevada,4.4,No,2-Day Shipping,Yes,No,34,Cash,Bi-Weekly,78
3,Female,32,Powerbank,Electronics,Summer,Purple,M,Indiana,4.2,No,2-Day Shipping,Yes,No,8,Debit Card,Annually,45
4,Female,52,Sandals,Footwear,Fall,Lavender,M,Oregon,2.8,No,Next Day Air,Yes,No,44,Bank Transfer,Bi-Weekly,93
5,Female,67,Scarf,Accessories,Summer,Gray,M,Rhode Island,3.7,No,Standard,Yes,No,36,Cash,Bi-Weekly,74
6,Female,43,Earbuds,Electronics,Summer,Red,L,Nevada,3.5,No,Standard,Yes,No,17,Bank Transfer,Bi-Weekly,55
7,Female,58,Wallet,Accessories,Summer,Purple,M,Montana,2.9,No,Store Pickup,Yes,No,46,PayPal,Quarterly,76
8,Female,20,Bluetooth Speaker,Electronics,Spring,Olive,L,Pennsylvania,3,No,Free Shipping,Yes,No,50,PayPal,Quarterly,66
9,Female,61,Overcoat,Outerwear,Winter,Lavender,M,Alaska,3.7,No,Next Day Air,Yes,No,22,Debit Card,Monthly,51
10,Female,32,Loafers,Footwear,Fall,Gray,M,Mississippi,4.4,No,Store Pickup,Yes,No,32,Debit Card,Annually,26
11,Female,38,Headphones,Electronics,Winter,Red,M,Wyoming,4.5,No,Free Shipping,Yes,No,40,Bank Transfer,Annually,29
12,Female,21,Overcoat,Outerwear,Fall,Peach,S,Delaware,4.8,No,Next Day Air,Yes,No,16,Cash,Monthly,74
13,Female,37,Earbuds,Electronics,Spring,Gray,M,Oklahoma,2.9,No,Standard,Yes,No,14,Bank Transfer,Quarterly,99
14,Female,27,Sweater,Clothing,Spring,Violet,M,Indiana,3.2,No,Standard,Yes,No,13,PayPal,Quarterly,88
15,Female,36,Scarf,Accessories,Spring,Beige,M,Maryland,3.3,No,Express,Yes,No,7,Credit Card,Weekly,31
16,Female,32,Loafers,Footwear,Winter,Blue,L,South Dakota,4.2,No,2-Day Shipping,Yes,No,41,Credit Card,Annually,55
17,Female,51,Windbreaker,Outerwear,Spring,Magenta,L,West Virginia,2.9,No,Free Shipping,Yes,No,14,Credit Card,Monthly,81
18,Female,64,Hat,Accessories,Summer,Cyan,S,Alabama,4.6,No,Next Day Air,Yes,No,16,Credit Card,Annually,73
19,Female,68,Windbreaker,Outerwear,Winter,Red,M,Louisiana,4.1,No,Standard,Yes,No,45,Credit Card,Every 3 Months,91
20,Female,68,Jeans,Clothing,Summer,Cyan,M,Montana,3.1,No,Free Shipping,Yes,No,37,Credit Card,Weekly,54
21,Female,33,Smartwatch,Electronics,Spring,Turquoise,S,California,4.2,No,Express,Yes,No,45,Debit Card,Annually,40
22,Female,65,Headphones,Electronics,Spring,Silver,M,Hawaii,4.5,No,Next Day Air,Yes,No,38,Credit Card,Weekly,59
23,Female,48,Loafers,Footwear,Summer,Pink,S,Iowa,3.7,No,Express,Yes,No,48,Venmo,Quarterly,26
24,Female,69,T-Shirt,Clothing,Summer,Black,XL,Colorado,3.7,No,Next Day Air,Yes,Yes,44,Venmo,Quarterly,23
25,Female,59,Sneakers,Footwear,Winter,Green,M,Michigan,3.4,No,Store Pickup,Yes,Yes,10,Credit Card,Fortnightly,87
26,Female,48,Heels,Footwear,Fall,Yellow,M,Louisiana,3,No,2-Day Shipping,Yes,Yes,44,Credit Card,Fortnightly,71
27,Female,25,Loafers,Footwear,Summer,Purple,M,Maryland,4.2,No,Standard,Yes,Yes,18,Venmo,Monthly,91
28,Female,29,Puffer Jacket,Outerwear,Winter,Purple,M,Georgia,2.9,No,2-Day Shipping,Yes,Yes,31,Bank Transfer,Bi-Weekly,64
29,Female,57,Puffer Jacket,Outerwear,Fall,Blue,M,Georgia,3.5,No,Express,Yes,Yes,40,PayPal,Annually,94
30,Female,23,Raincoat,Outerwear,Spring,Maroon,S,North Dakota,4.1,No,Standard,Yes,Yes,15,Cash,Annually,40
31,Female,45,Wallet,Accessories,Winter,Orange,S,Maryland,4.3,No,Store Pickup,Yes,Yes,19,Debit Card,Weekly,76
32,Female,38,Jacket,Clothing,Winter,Green,XL,Oregon,2.8,No,Express,Yes,Yes,45,PayPal,Weekly,86
33,Female,21,Loafers,Footwear,Spring,Gold,M,North Dakota,4.9,No,2-Day Shipping,Yes,Yes,25,Venmo,Fortnightly,92
34,Female,32,Flip-Flops,Footwear,Spring,Silver,M,Maryland,3.3,No,Free Shipping,Yes,Yes,45,Venmo,Every 3 Months,52
35,Female,63,Loafers,Footwear,Summer,Cyan,S,Virginia,3.2,No,Standard,Yes,Yes,36,Bank Transfer,Annually,28
36,Female,29,Bluetooth Speaker,Electronics,Spring,Silver,M,South Dakota,4.4,No,2-Day Shipping,Yes,Yes,38,Credit Card,Every 3 Months,46
37,Female,27,Loafers,Footwear,Fall,Beige,M,Georgia,4.8,No,Standard,Yes,Yes,34,Bank Transfer,Fortnightly,50
38,Female,56,Boots,Footwear,Fall,Teal,M,Hawaii,4.2,No,Express,Yes,Yes,39,Venmo,Every 3 Months,23
39,Female,30,Overcoat,Outerwear,Winter,Green,M,Arkansas,4,No,2-Day Shipping,Yes,Yes,7,Credit Card,Every 3 Months,50
40,Female,49,Raincoat,Outerwear,Spring,Black,L,Montana,2.5,No,Free Shipping,Yes,Yes,26,Debit Card,Annually,89
41,Female,58,Powerbank,Electronics,Summer,Yellow,L,Alabama,3.9,No,Express,Yes,Yes,35,Bank Transfer,Monthly,81
42,Female,57,Running Shoes,Footwear,Summer,White,L,Minnesota,4.9,No,Free Shipping,Yes,Yes,35,Cash,Quarterly,69
43,Female,60,Bluetooth Speaker,Electronics,Winter,Green,L,Arkansas,3.5,No,Standard,Yes,Yes,49,Venmo,Every 3 Months,67
44,Female,69,Shorts,Clothing,Winter,Silver,L,Ohio,4.2,No,Standard,Yes,Yes,46,Credit Card,Weekly,20
45,Female,70,Powerbank,Electronics,Summer,Blue,M,Kentucky,4.7,No,Free Shipping,Yes,Yes,17,Debit Card,Every 3 Months,29
46,Female,53,Shorts,Clothing,Winter,Magenta,L,Nebraska,4.5,No,Next Day Air,Yes,Yes,29,Credit Card,Annually,74
47,Female,25,Shirt,Clothing,Fall,Yellow,M,Delaware,2.8,No,Express,Yes,Yes,4,Venmo,Fortnightly,82
48,Female,48,Shirt,Clothing,Summer,White,XL,North Carolina,2.9,No,Express,Yes,Yes,17,Cash,Monthly,23
49,Female,69,Scarf,Accessories,Fall,Pink,XL,New York,3.2,No,Express,Yes,Yes,21,Credit Card,Monthly,45
50,Female,25,Shirt,Clothing,Summer,Magenta,L,Colorado,4.9,No,Store Pickup,Yes,Yes,31,Cash,Quarterly,21
51,Female,29,Scarf,Accessories,Winter,Teal,XL,Delaware,,No,Free Shipping,Yes,Yes,43,PayPal,Annually,31
52,Female,46,Dress,Clothing,Fall,Indigo,S,Utah,4.3,No,Next Day Air,Yes,Yes,18,Credit Card,Bi-Weekly,45
53,Female,37,Running Shoes,Footwear,Winter,Maroon,S,Connecticut,3.9,No,Free Shipping,Yes,Yes,44,Cash,Fortnightly,56
54,Female,20,Sneakers,Footwear,Winter,Black,M,New Jersey,3.2,No,Express,Yes,Yes,3,Cash,Fortnightly,97
55,Female,40,Puffer Jacket,Outerwear,Fall,Gold,M,West Virginia,3.1,No,Next Day Air,Yes,Yes,49,Cash,Every 3 Months,100
56,Female,60,Shirt,Clothing,Spring,Olive,XL,Colorado,3.9,No,Express,Yes,Yes,21,Debit Card,Every 3 Months,96
57,Female,26,Overcoat,Outerwear,Fall,Purple,M,Delaware,2.6,No,2-Day Shipping,Yes,Yes,5,Credit Card,Monthly,99
58,Female,29,Hoodie,Clothing,Winter,Lavender,L,Maryland,3.3,No,Store Pickup,Yes,Yes,32,Debit Card,Quarterly,91
59,Female,66,Smartwatch,Electronics,Winter,Gray,S,Pennsylvania,4.6,No,2-Day Shipping,Yes,Yes,34,Credit Card,Fortnightly,30
60,Female,66,Windbreaker,Outerwear,Spring,Red,M,Iowa,4.6,No,Express,Yes,Yes,21,Venmo,Monthly,65
